trip_id,start_time,end_time,headway_secs,exact_times
38137,05:30:00,19:00:00,2400,0
38233,18:30:00,21:00:00,1560,0
38232,05:45:00,18:30:00,1380,0
38238,05:45:00,18:30:00,1380,0
38144,19:00:00,21:45:00,4500,0
38132,19:00:00,21:45:00,3540,0
38239,18:30:00,21:00:00,1560,0
38190,05:30:00,18:00:00,2460,0
38649,05:30:00,18:30:00,2580,0
38203,18:30:00,20:45:00,4320,0
38156,19:00:00,21:45:00,4800,0
38059,05:10:00,19:00:00,1200,0
38108,19:00:00,22:00:00,2760,0
38060,19:00:00,22:10:00,1200,0
38065,05:10:00,19:00:00,1200,0
38066,19:00:00,22:10:00,1200,0
38072,19:00:00,24:30:00,1320,0
38071,04:35:00,19:00:00,1200,0
38113,05:00:00,19:00:00,2100,0
38184,05:30:00,19:00:00,2460,0
38114,19:00:00,22:00:00,2760,0
38185,18:00:00,21:00:00,3180,0
38119,05:15:00,19:00:00,2400,0
38047,05:35:00,19:00:00,1080,0
38078,04:35:00,19:00:00,1200,0
38079,19:00:00,24:30:00,1320,0
38138,19:00:00,21:45:00,3540,0
38250,06:00:00,18:00:00,1980,0
38755,05:00:00,19:00:00,3480,0
38481,19:00:00,24:30:00,1200,0
38756,19:00:00,25:00:00,4860,0
38245,18:00:00,20:45:00,2040,0
38480,04:15:00,19:00:00,1080,0
38244,06:00:00,18:00:00,1980,0
38462,05:45:00,19:00:00,3000,0
38668,19:00:00,24:00:00,720,0
38650,18:30:00,20:00:00,3180,0
38453,19:00:00,21:45:00,3000,0
38656,19:00:00,22:10:00,2520,0
38655,05:40:00,19:00:00,2340,0
38452,05:45:00,19:00:00,3000,0
38251,18:00:00,20:45:00,2040,0
38674,19:00:00,24:00:00,720,0
38196,05:45:00,18:30:00,2880,0
38197,18:30:00,20:45:00,4320,0
38209,18:00:00,20:45:00,1740,0
38215,18:00:00,20:45:00,1740,0
38155,05:30:00,19:00:00,2580,0
38208,05:45:00,18:00:00,1740,0
38149,05:30:00,19:00:00,2580,0
38150,19:00:00,21:45:00,4800,0
